Date,Open,High,Low,Close,AdjClose,Volume
2019-09-19,4.510000,4.550000,4.440000,4.460000,4.460000,2853236
2019-09-20,4.440000,4.470000,4.220000,4.290000,4.290000,12842492
2019-09-23,4.310000,4.320000,4.190000,4.200000,4.200000,5772820
2019-09-24,4.200000,4.260000,4.100000,4.140000,4.140000,5580232
2019-09-25,4.140000,4.180000,4.070000,4.100000,4.100000,4571213
2019-09-26,4.180000,4.220000,4.110000,4.170000,4.170000,4297620
2019-09-27,4.120000,4.190000,4.080000,4.170000,4.170000,1325564
2019-09-30,4.110000,4.270000,4.110000,4.240000,4.240000,3892000
2019-10-02,4.120000,4.220000,4.120000,4.180000,4.180000,3150305
2019-10-03,4.170000,4.170000,4.080000,4.100000,4.100000,2253000
2019-10-04,4.110000,4.120000,4.060000,4.070000,4.070000,1796646
2019-10-08,4.070000,4.180000,3.970000,4.140000,4.140000,4164518
2019-10-09,4.120000,4.120000,4.030000,4.030000,4.030000,2137244
2019-10-10,4.040000,4.100000,3.980000,4.060000,4.060000,6777473
2019-10-11,4.100000,4.260000,4.100000,4.240000,4.240000,5457200
2019-10-14,4.300000,4.460000,4.280000,4.430000,4.430000,7399811
2019-10-15,4.410000,4.430000,4.330000,4.410000,4.410000,3466000
2019-10-16,4.440000,4.450000,4.340000,4.400000,4.400000,3369000
2019-10-17,4.460000,4.470000,4.320000,4.350000,4.350000,2272000
2019-10-18,4.360000,4.430000,4.250000,4.310000,4.310000,3415261
2019-10-21,4.260000,4.300000,4.250000,4.300000,4.300000,1391000
2019-10-22,4.330000,4.410000,4.300000,4.400000,4.400000,1798975
2019-10-23,4.390000,4.460000,4.330000,4.460000,4.460000,3004000
2019-10-24,4.480000,4.540000,4.380000,4.540000,4.540000,3605338
2019-10-25,4.580000,4.580000,4.420000,4.500000,4.500000,2152430
2019-10-28,4.490000,4.530000,4.460000,4.530000,4.530000,1938000
2019-10-29,4.490000,4.510000,4.400000,4.430000,4.430000,2243096
2019-10-30,4.460000,4.460000,4.360000,4.400000,4.400000,1791969
2019-10-31,4.420000,4.450000,4.330000,4.370000,4.370000,3121000
2019-11-01,4.350000,4.440000,4.320000,4.420000,4.420000,2345000
2019-11-04,4.500000,4.640000,4.460000,4.640000,4.640000,8908641
2019-11-05,4.640000,4.930000,4.620000,4.920000,4.920000,11399176
2019-11-06,4.920000,4.920000,4.800000,4.840000,4.840000,6609000
2019-11-07,4.840000,4.910000,4.740000,4.910000,4.910000,4755025
2019-11-08,4.930000,5.050000,4.850000,5.030000,5.030000,7095324
2019-11-11,4.980000,5.000000,4.780000,4.880000,4.880000,7411000
2019-11-12,4.900000,5.270000,4.880000,5.190000,5.190000,14099648
2019-11-13,5.200000,5.230000,5.030000,5.220000,5.220000,8956000
2019-11-14,5.210000,5.240000,5.080000,5.120000,5.120000,3883599
2019-11-15,5.160000,5.160000,4.990000,5.070000,5.070000,4504000
2019-11-18,5.100000,5.250000,5.000000,5.240000,5.240000,6385000
2019-11-19,5.240000,5.490000,5.200000,5.460000,5.460000,9677000
2019-11-20,5.460000,5.600000,5.350000,5.510000,5.510000,13773810
2019-11-21,5.450000,5.650000,5.400000,5.620000,5.620000,14712744
2019-11-22,5.700000,5.740000,5.320000,5.430000,5.430000,16681924
2019-11-25,5.580000,5.580000,5.410000,5.500000,5.500000,5087600
2019-11-26,5.550000,5.590000,5.250000,5.300000,5.300000,27528000
2019-11-27,5.350000,5.600000,5.350000,5.540000,5.540000,14102612
2019-11-28,5.550000,5.580000,5.370000,5.430000,5.430000,4754549
2019-11-29,5.430000,5.450000,5.260000,5.300000,5.300000,3945000
2019-12-02,5.250000,5.490000,5.250000,5.450000,5.450000,7442000
2019-12-03,5.420000,5.610000,5.350000,5.530000,5.530000,7358342
2019-12-04,5.520000,5.540000,5.270000,5.280000,5.280000,8700697
2019-12-05,5.320000,5.420000,5.310000,5.400000,5.400000,4042356
2019-12-06,5.400000,5.540000,5.400000,5.500000,5.500000,4140153
2019-12-09,5.500000,5.810000,5.490000,5.760000,5.760000,10114418
2019-12-10,5.800000,5.830000,5.690000,5.760000,5.760000,10568385
2019-12-11,5.720000,5.980000,5.720000,5.950000,5.950000,13078568
2019-12-12,5.940000,6.100000,5.940000,6.020000,6.020000,6094587
2019-12-13,6.130000,6.300000,6.130000,6.180000,6.180000,8498000
2019-12-16,6.160000,6.190000,6.000000,6.020000,6.020000,7036123
2019-12-17,6.080000,6.180000,5.950000,6.000000,6.000000,6041000
2019-12-18,6.030000,6.100000,5.880000,5.990000,5.990000,5866000
2019-12-19,6.000000,6.070000,5.840000,5.920000,5.920000,8401938
2019-12-20,5.980000,6.000000,5.830000,5.880000,5.880000,4575737
2019-12-23,5.900000,5.990000,5.860000,5.990000,5.990000,2222320
2019-12-24,5.930000,6.090000,5.930000,6.030000,6.030000,2720000
2019-12-27,6.090000,6.090000,5.880000,5.920000,5.920000,2877434
2019-12-30,5.860000,6.030000,5.860000,5.980000,5.980000,1741314
2019-12-31,5.910000,5.960000,5.880000,5.900000,5.900000,1324000
2020-01-02,5.980000,6.150000,5.890000,6.050000,6.050000,3652192
2020-01-03,6.010000,6.100000,5.880000,5.910000,5.910000,4335200
2020-01-06,5.910000,6.000000,5.810000,5.900000,5.900000,3402861
2020-01-07,5.960000,6.050000,5.650000,5.690000,5.690000,6178000
2020-01-08,5.660000,5.730000,5.480000,5.670000,5.670000,13610670
2020-01-09,5.780000,5.810000,5.660000,5.810000,5.810000,4909600
2020-01-10,5.860000,6.170000,5.830000,6.090000,6.090000,9385000
2020-01-13,6.030000,6.090000,5.920000,6.020000,6.020000,4821648
2020-01-14,6.150000,6.200000,6.010000,6.140000,6.140000,6868000
2020-01-15,6.130000,6.320000,6.120000,6.280000,6.280000,9921881
2020-01-16,6.280000,6.280000,6.100000,6.120000,6.120000,3208176
2020-01-17,6.260000,6.280000,6.120000,6.180000,6.180000,3199403
2020-01-20,6.160000,6.160000,5.990000,5.990000,5.990000,4485451
2020-01-21,5.980000,6.040000,5.830000,5.850000,5.850000,7198100
2020-01-22,5.880000,6.190000,5.850000,6.180000,6.180000,6225350
2020-01-23,6.080000,6.140000,5.920000,6.050000,6.050000,4891728
2020-01-24,6.050000,6.150000,6.010000,6.100000,6.100000,1238000
2020-01-29,5.780000,5.920000,5.700000,5.790000,5.790000,6021000
2020-01-30,5.650000,5.890000,5.500000,5.570000,5.570000,4589713
2020-01-31,5.690000,5.740000,5.410000,5.430000,5.430000,6088000
2020-02-03,5.380000,5.590000,5.380000,5.480000,5.480000,3214749
2020-02-04,5.900000,5.900000,5.620000,5.680000,5.680000,6809352
2020-02-05,5.720000,5.870000,5.720000,5.720000,5.720000,2934300
2020-02-06,5.770000,5.830000,5.680000,5.740000,5.740000,13014150
2020-02-07,5.580000,5.790000,5.570000,5.610000,5.610000,4142642
2020-02-10,5.550000,5.580000,5.430000,5.580000,5.580000,3799000
2020-02-11,5.580000,5.670000,5.530000,5.590000,5.590000,2489400
2020-02-12,5.610000,5.720000,5.590000,5.660000,5.660000,5070038
2020-02-13,5.640000,5.680000,5.560000,5.610000,5.610000,1373000
2020-02-14,5.550000,5.660000,5.540000,5.600000,5.600000,1711000
2020-02-17,5.550000,5.740000,5.500000,5.680000,5.680000,3776525
2020-02-18,5.670000,5.920000,5.670000,5.890000,5.890000,6500000
2020-02-19,5.940000,6.260000,5.910000,6.160000,6.160000,10976869
2020-02-20,6.210000,6.330000,6.200000,6.300000,6.300000,8531400
2020-02-21,6.360000,6.370000,6.210000,6.220000,6.220000,5122157
2020-02-24,6.120000,6.190000,5.960000,6.180000,6.180000,6587000
2020-02-25,6.060000,6.180000,5.960000,6.150000,6.150000,6760245
2020-02-26,6.100000,6.350000,6.000000,6.200000,6.200000,5973323
2020-02-27,6.280000,6.300000,6.180000,6.260000,6.260000,4811000
2020-02-28,6.100000,6.140000,5.960000,6.080000,6.080000,5523834
2020-03-02,6.090000,6.380000,6.090000,6.220000,6.220000,6476490
2020-03-03,6.310000,6.360000,6.020000,6.070000,6.070000,4732646
2020-03-04,6.060000,6.130000,5.960000,6.050000,6.050000,4507000
2020-03-05,6.100000,6.180000,6.000000,6.050000,6.050000,4676000
2020-03-06,5.960000,5.960000,5.510000,5.510000,5.510000,12165524
